# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
289280 211.875 0.00127579827395783
289792 212.25 0.00127582490586829
290304 212.625 0.00127585201940513
290816 213 0.00127587971287198
291328 213.375 0.00127590800177895
291840 213.75 0.00127593689246484
292352 214.125 0.00127596645318084
292864 214.5 0.00127599668044566
293376 214.875 0.00127602763585445
293888 215.25 0.00127605936847996
294400 215.625 0.00127609189576599
294912 216 0.00127612523679405
295424 216.375 0.00127615944157017
295936 216.75 0.00127619455373871
296448 217.125 0.00127623054528218
296960 217.5 0.00127626747965577
297472 217.875 0.00127630540196514
297984 218.25 0.0012763442375004
298496 218.625 0.00127638402042778
299008 219 0.00127642482501972
299520 219.375 0.00127646657132177
300032 219.75 0.00127650919359253
300544 220.125 0.00127655277467256
301056 220.5 0.00127659722911018
301568 220.875 0.00127664248904576
302080 221.25 0.00127668861591233
302592 221.625 0.00127673540759144
303104 222 0.00127678277324297
303616 222.375 0.00127683085102914
304128 222.75 0.0012768794633586
304640 223.125 0.00127692834267985
305152 223.5 0.00127697754667482
305664 223.875 0.00127702701433064
306176 224.25 0.00127707651278508
306688 224.625 0.00127712598621329
307200 225 0.00127717528666783
307712 225.375 0.00127722421931435
308224 225.75 0.00127727273874877
308736 226.125 0.00127732072436728
309248 226.5 0.00127736797432205
309760 226.875 0.00127741436322857
310272 227.25 0.00127745978491535
310784 227.625 0.00127750407143382
311296 228 0.0012775471599837
311808 228.375 0.0012775889552525
312320 228.75 0.00127762921040518
312832 229.125 0.00127766788324611
313344 229.5 0.00127770497542252
313856 229.875 0.00127774030334587
314368 230.25 0.00127777376063675
314880 230.625 0.00127780534745773
315392 231 0.00127783500479089
315904 231.375 0.00127786263475985
316416 231.75 0.00127788823601954
316928 232.125 0.00127791182539879
317440 232.5 0.00127793332879703
317952 232.875 0.00127795273480878
318464 233.25 0.00127797015211553
318976 233.625 0.00127798556922538
319488 234 0.00127799894480047
320000 234.375 0.00127801041656404
320512 234.75 0.00127802004226749
321024 235.125 0.00127802785345303
321536 235.5 0.00127803397757175
322048 235.875 0.0012780384607804
322560 236.25 0.00127804140397491
323072 236.625 0.00127804298126145
323584 237 0.00127804324760747
324096 237.375 0.00127804226974278
324608 237.75 0.00127804022929193
325120 238.125 0.00127803724802804
325632 238.5 0.00127803338747523
326144 238.875 0.00127802880548001
326656 239.25 0.00127802364754844
327168 239.625 0.00127801798237877
327680 240 0.00127801194480307
328192 240.375 0.00127800568478186
328704 240.75 0.00127799931530877
329216 241.125 0.00127799291972068
329728 241.5 0.00127798660964502
330240 241.875 0.00127798053986882
330752 242.25 0.00127797478759237
331264 242.625 0.00127796943818828
