# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
101888 74.625 -5.43539337317409e-06 -5.4332548230914e-06 -5.43155924886709e-06
102400 75 -5.18390819562494e-06 -5.18105731850581e-06 -5.18012478502337e-06
102912 75.375 -4.86185336682705e-06 -4.85836573534017e-06 -4.85821042007509e-06
103424 75.75 -4.44697411842126e-06 -4.44290722026254e-06 -4.44337296610309e-06
103936 76.125 -4.12209533728831e-06 -4.11380379006127e-06 -4.11729549260194e-06
104448 76.5 -3.76196909501e-06 -3.75316788539423e-06 -3.75722088940012e-06
104960 76.875 -3.42257853140764e-06 -3.41896356310973e-06 -3.41974819217707e-06
105472 77.25 -3.15386619050334e-06 -3.14947205968954e-06 -3.15094779928738e-06
105984 77.625 -2.8833137238878e-06 -2.87822275969119e-06 -2.88038636942698e-06
106496 78 -2.5535779661128e-06 -2.54461316683138e-06 -2.54945936124713e-06
107008 78.375 -2.26832763712797e-06 -2.26183031960962e-06 -2.26624290504916e-06
107520 78.75 -2.05355693345421e-06 -2.05157170983351e-06 -2.05287728035858e-06
108032 79.125 -1.85022675229264e-06 -1.84847818276428e-06 -1.84986935302168e-06
108544 79.5 -1.67710161132491e-06 -1.67616859685555e-06 -1.67662293779394e-06
109056 79.875 -1.58448301931382e-06 -1.58364629062764e-06 -1.58407899852854e-06
109568 80.25 -1.51009508620467e-06 -1.50882877442632e-06 -1.50990300039883e-06
110080 80.625 -1.40832827471881e-06 -1.40711287120699e-06 -1.40821445563351e-06
110592 81 -1.29148524096847e-06 -1.29094811211793e-06 -1.29119120630862e-06
111104 81.375 -1.25399362206891e-06 -1.25349672320448e-06 -1.2536460313413e-06
111616 81.75 -1.12946778423467e-06 -1.12904532292876e-06 -1.12923301803384e-06
112128 82.125 -1.08952990649521e-06 -1.08924923592695e-06 -1.08943829495121e-06
112640 82.5 -1.21075046351929e-06 -1.1968395251715e-06 -1.21491938113571e-06
113152 82.875 -1.0022668596111e-06 -1.00205841521798e-06 -1.00209618911409e-06
113664 83.25 -1.32275716086453e-06 -1.3050516256719e-06 -1.32610415335407e-06
114176 83.625 -1.71584173257008e-06 -1.70190862136777e-06 -1.72079775426323e-06
114688 84 -2.38413963312807e-06 -2.38762058127395e-06 -2.39315871249757e-06
115200 84.375 -2.51033444030705e-06 -2.5337194547593e-06 -2.52127235397662e-06
115712 84.75 -2.13626520343029e-06 -2.16299179320572e-06 -2.1472025196924e-06
116224 85.125 -2.22830835202496e-06 -2.23182914327351e-06 -2.23913961205469e-06
116736 85.5 -2.45407202008336e-06 -2.46261978342124e-06 -2.46631719446494e-06
117248 85.875 -3.17247264128034e-06 -3.19734884969297e-06 -3.18527106315675e-06
