# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
144384 141 1.7269199737521e-07 1.72567121555418e-07 1.72530540634941e-07
144896 141.5 1.70979135066002e-07 1.70883902749919e-07 1.70843503519148e-07
145408 142 1.75567774990272e-07 1.75500566292182e-07 1.75442195488316e-07
145920 142.5 1.71756352180879e-07 1.71677230388732e-07 1.7160948671191e-07
146432 143 1.66259139065448e-07 1.66212114148293e-07 1.66108212081888e-07
146944 143.5 1.67632574077641e-07 1.67602553872495e-07 1.67492910454681e-07
147456 144 1.6854131001674e-07 1.6849825348024e-07 1.68413117376442e-07
147968 144.5 1.64654644154598e-07 1.64658171213369e-07 1.6456803874408e-07
148480 145 1.63820558509603e-07 1.63807888501685e-07 1.63693082565637e-07
148992 145.5 1.66607677925581e-07 1.66613435463266e-07 1.6649078716612e-07
149504 146 1.64877522467823e-07 1.64924529436191e-07 1.64772884254832e-07
150016 146.5 1.61559045684506e-07 1.61615831256464e-07 1.61427414984045e-07
150528 147 1.62607721327153e-07 1.6264391200369e-07 1.62511728420665e-07
151040 147.5 1.63913385082503e-07 1.63929463147557e-07 1.63772084594202e-07
151552 148 1.63761561878652e-07 1.63794051758254e-07 1.63656325338485e-07
152064 148.5 1.59992195367633e-07 1.60039986692595e-07 1.59871976361858e-07
152576 149 1.62163696321919e-07 1.62203417113314e-07 1.62113649740099e-07
153088 149.5 1.62019056548871e-07 1.62012318787926e-07 1.61933009771653e-07
153600 150 1.56962764887214e-07 1.56946561293004e-07 1.56861607986128e-07
154112 150.5 1.55688797766345e-07 1.55642892498886e-07 1.55609074012882e-07
154624 151 1.54785035894615e-07 1.54714548737504e-07 1.5469000681043e-07
155136 151.5 1.55123578229563e-07 1.55061672130814e-07 1.55034832219696e-07
155648 152 1.53194574782824e-07 1.53133145633862e-07 1.53111599895477e-07
156160 152.5 1.52086921742571e-07 1.52050293387656e-07 1.52034478787591e-07
156672 153 1.49278604614192e-07 1.49185177925345e-07 1.49199529625289e-07
157184 153.5 1.49943498330456e-07 1.49865623576797e-07 1.49884054997368e-07
157696 154 1.42888633890472e-07 1.42823951344907e-07 1.4281791292792e-07
158208 154.5 1.42760889843822e-07 1.42726892718299e-07 1.4272933558558e-07
