# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
131584 128.5 -7.98983745536114e-07 -7.9891553573789e-07 -7.98889127856393e-07
132096 129 -7.93081966357182e-07 -7.93014895610182e-07 -7.92997378650339e-07
132608 129.5 -7.85397684024212e-07 -7.85341755694129e-07 -7.853091290702e-07
133120 130 -7.79763335348816e-07 -7.79670896886074e-07 -7.796997329847e-07
133632 130.5 -7.7526563503108e-07 -7.75197694767346e-07 -7.75272822971719e-07
134144 131 -7.72151774551616e-07 -7.72109031443711e-07 -7.7211884362234e-07
134656 131.5 -7.73282036125591e-07 -7.7318453192859e-07 -7.73170175517556e-07
135168 132 -7.74717333059996e-07 -7.7456446414079e-07 -7.7456403742991e-07
135680 132.5 -7.72116125679702e-07 -7.72086033253946e-07 -7.72111090503152e-07
136192 133 -7.64250698016134e-07 -7.64219841357977e-07 -7.64255608659051e-07
136704 133.5 -7.64474621635119e-07 -7.64483951857034e-07 -7.64450053338718e-07
137216 134 -7.62395657425974e-07 -7.62403965328342e-07 -7.62434106360193e-07
137728 134.5 -7.63229918821636e-07 -7.63226606174924e-07 -7.63186270344087e-07
138240 135 -7.63447888839041e-07 -7.63419785039134e-07 -7.63377234908936e-07
138752 135.5 -7.56309768443202e-07 -7.56278111589394e-07 -7.5624020306821e-07
139264 136 -7.54543213007627e-07 -7.54574210928471e-07 -7.54569454124892e-07
139776 136.5 -7.54564065149493e-07 -7.54630430894992e-07 -7.54590363417354e-07
140288 137 -7.52669127544083e-07 -7.5270906781728e-07 -7.52632929690038e-07
140800 137.5 -7.47298796958557e-07 -7.47351902358896e-07 -7.47307435408067e-07
141312 138 -7.43972864524619e-07 -7.43956517594524e-07 -7.4390760426069e-07
141824 138.5 -7.45727476560094e-07 -7.45703854694736e-07 -7.45685361685771e-07
142336 139 -7.44867769426028e-07 -7.44899887934973e-07 -7.44846777702884e-07
142848 139.5 -7.44644293988113e-07 -7.44692270218773e-07 -7.44627396365058e-07
143360 140 -7.38776487249933e-07 -7.38816365932747e-07 -7.38758183122394e-07
143872 140.5 -7.39277283873049e-07 -7.39353832701895e-07 -7.39299938085292e-07
144384 141 -7.40781829207291e-07 -7.40829229517034e-07 -9.22644375122578e-07
144896 141.5 -9.86704260370152e-07 -7.41146443149302e-07 -1.15816945188842e-06
145408 142 -1.23275177297883e-06 -1.05606787943965e-06 -1.4339271592055e-06
145920 142.5 -1.66163133361401e-06 -1.67751855089431e-06 -1.71259073609068e-06
146432 143 -2.37504487342522e-06 -2.45395055956119e-06 -2.16020227608774e-06
146944 143.5 -3.16095075377298e-06 -3.30175832760973e-06 -2.97868396469371e-06
147456 144 -4.1992058152007e-06 -4.40146779113098e-06 -4.05338211301728e-06
