# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
392192 383 0.00127676201034619
392704 383.5 0.00127679481421942
393216 384 0.00127682744085503
393728 384.5 0.00127686012940012
394240 385 0.00127689267098426
394752 385.5 0.00127692497552312
395264 386 0.00127695745176987
395776 386.5 0.00127699021965035
396288 387 0.00127702294121279
396800 387.5 0.00127705571798366
397312 388 0.00127708891604594
397824 388.5 0.00127712239964758
398336 389 0.00127715599285274
398848 389.5 0.001277189854251
399360 390 0.00127722407157082
399872 390.5 0.00127725856096424
400384 391 0.00127729323921515
400896 391.5 0.00127732809324495
401408 392 0.0012773631689707
401920 392.5 0.00127739841469653
402432 393 0.00127743366624514
402944 393.5 0.00127746891211768
403456 394 0.00127750414988519
403968 394.5 0.00127753923843997
404480 395 0.00127757410297827
404992 395.5 0.00127760866281406
405504 396 0.00127764282934955
406016 396.5 0.00127767654381542
406528 397 0.00127770968158437
407040 397.5 0.00127774213724141
407552 398 0.00127777387316552
408064 398.5 0.00127780478118907
408576 399 0.00127783471491678
409088 399.5 0.00127786366634828
409600 400 0.00127789157413494
