# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
357376 349 0.127465756156248
357888 349.5 0.127465893529097
358400 350 0.12746609257318
358912 350.5 0.127466338561649
359424 351 0.127466661722669
359936 351.5 0.127467095190984
360448 352 0.127467617961417
360960 352.5 0.127468219600287
361472 353 0.127468943326713
361984 353.5 0.127469813161591
362496 354 0.12747079637693
363008 354.5 0.127471887916789
363520 355 0.127473141667229
364032 355.5 0.127474563593214
364544 356 0.127476108741554
365056 356.5 0.127477792348076
365568 357 0.127479660152011
366080 357.5 0.127481691456515
366592 358 0.127483857203353
367104 358.5 0.127486179225818
367616 359 0.127488671617877
368128 359.5 0.12749132137387
368640 360 0.127494111346554
369152 360.5 0.127497041807436
369664 361 0.127500125074237
370176 361.5 0.127503354511058
370688 362 0.127506708182563
371200 362.5 0.127510179184453
371712 363 0.127513781092335
372224 363.5 0.127517506185455
372736 364 0.12752132661115
373248 364.5 0.127525241157573
373760 365 0.127529258786579
374272 365.5 0.127533364178763
374784 366 0.127537539190412
375296 366.5 0.127541783245306
375808 367 0.127546090959826
376320 367.5 0.127550453303031
376832 368 0.127554862239474
377344 368.5 0.127559300803963
377856 369 0.127563768469311
378368 369.5 0.12756826562148
378880 370 0.127572769562741
379392 370.5 0.127577271515865
379904 371 0.127581778386542
380416 371.5 0.127586275362628
380928 372 0.127590746797666
381440 372.5 0.127595196746405
381952 373 0.127599617689445
382464 373.5 0.127603995644361
382976 374 0.127608329899985
383488 374.5 0.127612618044464
384000 375 0.127616851573444
384512 375.5 0.127621024994007
385024 376 0.127625136858133
385536 376.5 0.127629188137877
386048 377 0.127633176269612
386560 377.5 0.127637091013165
387072 378 0.127640936218153
387584 378.5 0.127644725046866
388096 379 0.127648447085257
388608 379.5 0.127652094346427
389120 380 0.127655683576726
389632 380.5 0.127659225613072
390144 381 0.127662711678595
390656 381.5 0.127666136753508
391168 382 0.12766951987781
391680 382.5 0.127672877919778
392192 383 0.127676201034618
392704 383.5 0.127679481421942
393216 384 0.127682744085503
393728 384.5 0.127686012940011
394240 385 0.127689267098426
394752 385.5 0.127692497552312
395264 386 0.127695745176987
395776 386.5 0.127699021965035
396288 387 0.127702294121278
396800 387.5 0.127705571798366
397312 388 0.127708891604594
397824 388.5 0.127712239964758
398336 389 0.127715599285274
398848 389.5 0.1277189854251
399360 390 0.127722407157081
399872 390.5 0.127725856096424
400384 391 0.127729323921515
400896 391.5 0.127732809324495
401408 392 0.12773631689707
401920 392.5 0.127739841469653
402432 393 0.127743366624514
402944 393.5 0.127746891211768
403456 394 0.127750414988519
403968 394.5 0.127753923843997
404480 395 0.127757410297827
404992 395.5 0.127760866281406
405504 396 0.127764282934955
406016 396.5 0.127767654381542
406528 397 0.127770968158436
407040 397.5 0.127774213724141
407552 398 0.127777387316552
408064 398.5 0.127780478118906
408576 399 0.127783471491678
409088 399.5 0.127786366634827
409600 400 0.127789157413494
