# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
387584 378.5 1.08218693788392
388096 379 1.08327671884525
388608 379.5 1.08609647348549
389120 380 1.08921212822116
389632 380.5 1.0918387824155
390144 381 1.09376154224032
390656 381.5 1.09439799812128
391168 382 1.09295057570148
391680 382.5 1.09104525039186
392192 383 1.09100719741691
392704 383.5 1.08845314411928
393216 384 1.08454073134605
393728 384.5 1.08462607859819
394240 385 1.08365075878676
394752 385.5 1.08329714063682
395264 386 1.08340681450913
395776 386.5 1.08375635560772
396288 387 1.08224783534359
396800 387.5 1.08298659131141
397312 388 1.08353518764377
397824 388.5 1.08394712929527
398336 389 1.08382657244544
398848 389.5 1.08129218530769
399360 390 1.07962003893233
399872 390.5 1.07825760535345
400384 391 1.07853314121867
400896 391.5 1.07857607927841
401408 392 1.07819646724462
401920 392.5 1.07693052886456
402432 393 1.07477788345194
402944 393.5 1.07446116786924
403456 394 1.07431308946838
403968 394.5 1.07508613275381
404480 395 1.07572031224418
404992 395.5 1.07628889466422
405504 396 1.0768004915112
406016 396.5 1.07717324001901
406528 397 1.07734830824156
407040 397.5 1.07652166347837
407552 398 1.07556844339144
408064 398.5 1.07591422942858
408576 399 1.07589593401988
409088 399.5 1.07668504832772
409600 400 1.07714158014394
